Battle_Tag,Total_Wins,Top_role_0,role_wins_0,Top_role_1,role_wins_1,Top_role_2,role_wins_2,Top_role_3,role_wins_3
Morellio-1416,934,Support,424,Tank,435,Offense,41,Defense,34
Zinux-1251,85,Tank,12,Defense,26,Support,20,Offense,26
BluePillow-21338,542,Defense,283,Offense,188,Tank,47,Support,24
Miyuna-21516,62,Offense,15,Defense,25,Tank,22,,
Mood-21538,190,Defense,84,Offense,69,Support,35,Tank,3
Hunter18112-1984,420,Tank,140,Support,127,Defense,110,Offense,43
Yoda-22377,73,Tank,1,Offense,52,Defense,18,Support,2
Zugzug-1342,"1,148",Defense,372,Offense,384,Support,236,Tank,159
TimeToShine-21533,489,Offense,230,Defense,192,Support,51,Tank,15
Ne0x-2676,777,Offense,472,Defense,117,Support,86,Tank,96
Okay-11514,41,Tank,1,Offense,20,Defense,14,Support,5
Delta021-1534,777,Support,58,Tank,82,Defense,246,Offense,394
Nessi-11637,473,Tank,186,Support,179,Defense,58,Offense,50
FireAlpha-2225,630,Defense,110,Support,80,Offense,229,Tank,211
NateMaster-11517,52,Support,19,Tank,25,Offense,2,Defense,3
Varskull-2424,"1,058",Offense,322,Tank,317,Support,282,Defense,137
Cheloux-2153,681,Tank,332,Support,202,Defense,71,Offense,73
jackattack40-1398,843,Offense,298,Tank,216,Support,169,Defense,158
Legendary-14292,75,Tank,5,Defense,54,Support,10,Offense,6
Myth-12545,753,Support,239,Defense,155,Tank,31,Offense,331
Transversal-11549,162,Offense,72,Defense,45,Tank,39,Support,6
JCTheAllStar-1792,"1,225",Offense,579,Defense,264,Tank,188,Support,193
WODwarrior-1746,259,Tank,101,Support,77,Offense,53,Defense,28
Deathbed-1368,243,Defense,54,Support,21,Tank,61,Offense,109
Dudezo-1756,"1,251",Defense,209,Offense,264,Tank,301,Support,477
PinkWeasel-21707,50,Tank,34,Support,9,Defense,3,Offense,2
BalloonCake-1933,539,Tank,229,Offense,178,Support,106,Defense,25
Wotton-11398,164,Support,55,Offense,12,Defense,9,Tank,89
DocBGood-1806,891,Defense,614,Offense,158,Support,77,Tank,43
Cyr-2925,"1,703",Offense,63,Support,1008,Tank,492,Defense,140
chrome-12941,"1,273",Offense,661,Support,239,Defense,237,Tank,138
Kosmos-11882,71,Defense,22,Offense,6,Tank,2,Support,41
Ciezan-1665,141,Tank,87,Support,34,Offense,15,Defense,4
okkokk-1493,580,Support,86,Offense,251,Tank,135,Defense,108
CLLOYD006-1672,264,Defense,90,Tank,74,Offense,59,Support,41
Emixam-21653,255,Support,124,Tank,79,Defense,38,Offense,14
SORA-3954,806,Defense,288,Tank,174,Support,152,Offense,194
TricklyTrash-1993,83,Defense,13,Offense,35,Tank,17,Support,17
RAINBOW-31376,203,Defense,98,Offense,87,Support,11,Tank,6
Oskuxan-2477,815,Tank,49,Offense,523,Defense,173,Support,71
Lymulis-1262,540,Defense,116,Offense,228,Support,74,Tank,123
paladins-21183,39,Offense,12,Support,10,Tank,9,Defense,8
doodoonesbit-1512,781,Offense,428,Defense,113,Support,44,Tank,195
Threshish-1867,607,Offense,265,Tank,174,Defense,130,Support,37
Bajas-21522,891,Tank,174,Offense,197,Support,167,Defense,355
milksgonebad-1890,507,Support,34,Offense,347,Tank,70,Defense,56
Zasc-2467,319,Defense,121,Offense,83,Tank,72,Support,43
Glockoma-11768,283,Offense,89,Defense,31,Support,50,Tank,113
Ambientto-1436,311,Support,278,Tank,27,Defense,5,Offense,4
Teabagged-11596,199,Defense,52,Offense,104,Tank,37,Support,5
Talbotson-1651,708,Offense,69,Tank,104,Support,391,Defense,143
sora-32523,77,Support,8,Tank,24,Offense,31,Defense,12
SukZ-2483,291,Offense,189,Defense,64,Tank,26,Support,11
Spooky-12432,253,Defense,186,Tank,40,Offense,26,Support,1
Spirit-12621,"2,279",Tank,623,Offense,295,Defense,7,Support,1354
MemeDealer-11248,986,Offense,329,Defense,207,Tank,210,Support,241
CarlWheezer-11623,"1,089",Tank,364,Offense,326,Defense,263,Support,137
wK0BRAw-21394,912,Offense,380,Defense,221,Tank,161,Support,149
MilkMonsta-2693,71,Offense,44,Defense,14,Tank,6,Support,7
